index,date,account_name,amount,message,vs,name,label
4247,2023-11-30,,-5.0,Zverejňovanie účtu,,Smer,PS
4248,2023-11-30,,-5.0,Poplatok za vedenie účtu,,Smer,PS
4249,2023-10-31,,-5.0,Zverejňovanie účtu,,Smer,PS
4250,2023-10-31,,-5.0,Poplatok za vedenie účtu,,Smer,PS
4257,2023-10-19,"PETIT PRESS, A.S.DIV",-180.0,FD-2275-inzercia,2335110114.0,Smer,PS
4262,2023-10-19,PETIT PRESS,-1579.2,FD-2302-inzercia,,Smer,PS
4261,2023-10-19,"REGIONPRESS, S.R.O.",-2700.0,FD-2241-inzercia,336230038.0,Smer,PS
4260,2023-10-19,"REGIONPRESS, S.R.O.",-2700.0,FD-2242-inzercia,336230042.0,Smer,PS
4259,2023-10-19,"PETIT PRESS, A.S.DIV",-180.0,FD-2277-inzercia,2335110126.0,Smer,PS
4258,2023-10-19,"PETIT PRESS, A.S.DIV",-180.0,FD-2276-inzercia,2335110117.0,Smer,PS
4256,2023-10-19,COPKOVA IVETA,-50.0,FD-2181-veniec,230019.0,Smer,PS
4255,2023-10-19,NAVI s.r.o.,-249.0,FD-2180-obcerstvenie,342023.0,Smer,PS
4254,2023-10-19,TS Plus s.r.o.,-350.0,FD-2223-obcerstvenie,20230020.0,Smer,PS
4253,2023-10-19,LAHODKY-DANIELA,-130.0,FD-2224-mineralna voda,231103.0,Smer,PS
4252,2023-10-19,SMER - sociálna demokracia,20253.0,Vklad prostriedkov z BU za ucelom uhrady nakladov na volby do NR SR,19102023.0,Smer,PS
4251,2023-10-19,"PETIT PRESS, A.S.DIV",-120.0,FD-2274-inzercia,2335108969.0,Smer,PS
4263,2023-10-13,"Bytova podnik mesta Kosice,s.r.o.",-191.86,FD-2265-elektr.energia,512301219.0,Smer,PS
4264,2023-10-13,AKRA reklama s.r.o.,-360.0,FD-2267-podpiskarty,110230215.0,Smer,PS
4265,2023-10-13,Pavol Repta,-800.0,FD-2266-prenajom,2023003.0,Smer,PS
4271,2023-10-12,TLACIAREN KEZMAROK G,-399.6,FD-2243-letaky,20231347.0,Smer,PS
4274,2023-10-12,COLTSUN-CONSULT,-400.0,"FD-2245-banner,plagat",2309011.0,Smer,PS
4273,2023-10-12,ADIN,-310.0,FD-2244-plagaty,4223.0,Smer,PS
4272,2023-10-12,Jaroslav Oprala GARMONDNITRA-vydav.,-192.0,FD-2239-plagaty,230406.0,Smer,PS
4269,2023-10-12,"REALEXPO,S.R.O.",-996.0,FD-merkantil,2230863.0,Smer,PS
4270,2023-10-12,MESTO LEVICE,-280.0,FD-2237-dan za uzivanie verej.priestranstva,3080000244.0,Smer,PS
4268,2023-10-12,"ARC Design,s.r.o.",-120.0,FD-2236-plagaty,23088.0,Smer,PS
4267,2023-10-12,DZS Optimus s.r.o.,-144.0,FD-2235-zdravot.asistencia,2322.0,Smer,PS
4266,2023-10-12,Polepy-Potlace s.r.o.,-200.0,FD-2240-propagacne materialy,2023102.0,Smer,PS
4280,2023-10-11,Anton Toma TOMA s.r.o.,-483.84,FD-2218-reklamne predmety,230487.0,Smer,PS
4285,2023-10-11,PETIT PRESS,-324.0,FD-2212-inzercia,2335109654.0,Smer,PS
4284,2023-10-11,"LIPOPRINT,S.R.O.",-108.0,FD-2213-plagat,2023241.0,Smer,PS
4283,2023-10-11,Dom kultury mesta Handlova,-80.0,FD-2214-prenajom,5023067.0,Smer,PS
4282,2023-10-11,TS Plus s.r.o.,-600.0,FD-2215-podpiskarty,20230021.0,Smer,PS
4281,2023-10-11,"BEEL,s.r.o.",-516.0,FD-2216-podpiskarty,23388.0,Smer,PS
4279,2023-10-11,Anton Toma TOMA s.r.o.,-511.68,FD-2219-reklam.predmety,230450.0,Smer,PS
4278,2023-10-11,Building s.r.o.,-201.6,FD-2220-prenajom reklamnych panelov,230902.0,Smer,PS
4277,2023-10-11,Duvel - Tlac a reklama s.r.o.,-52.8,FD-2221-plagaty,2023185.0,Smer,PS
4276,2023-10-11,R&J Sound and Light s.r.o.,-400.0,FD-2222-ozvucenie mitingu,202334.0,Smer,PS
4275,2023-10-11,Duvel - Tlac a reklama s.r.o.,-99.0,FD-2217-podpiskarty,2023178.0,Smer,PS
4291,2023-10-10,"EMINENT, spol. s r.o.",-696.0,"FD-2176-prenajom, zvuk,technika",20230270.0,Smer,PS
4295,2023-10-10,Stefan Ozorak ETIEN reklamka,-1812.0,"FD-2177-banery,bilboard,plagaty, rekl.predmety",230156.0,Smer,PS
4294,2023-10-10,SHR zvaz zdravotne postihnutych,-300.0,FD-2182-kulturny program,722023.0,Smer,PS
4293,2023-10-10,"3M media, s.r.o.",-300.0,FD-2179-video,23040.0,Smer,PS
4292,2023-10-10,AGAL,-500.0,"FD-2178-graficke prace, sluzby na FB",3.0,Smer,PS
4290,2023-10-10,Richard Horny,-150.0,FD-2174-banner,20230086.0,Smer,PS
4288,2023-10-10,ASGuard security s.r.o.,-960.0,FD-2172-bezpecnostna sluzba,5023069.0,Smer,PS
4287,2023-10-10,Jaroslav Timan,-1060.0,FD-2151-vystupenie,23001.0,Smer,PS
4286,2023-10-10,Juraj Datko,-410.0,FD-2175-mat.tech.zabezpecenie akcie,2023046.0,Smer,PS
4289,2023-10-10,Janicek Marek - Marcraft,-150.0,FD-2473-fotosluzby,20230044.0,Smer,PS
4296,2023-10-09,Financna sprava Bratislava,-13521.06,DPH-9/2023,1100092023.0,Smer,PS
4312,2023-10-06,"Excel Media Group,s.r.o.",-300.0,FD-2148-inzercia,230189.0,Smer,PS
